id,species,block,inoculant,year,week,month,day,height,length,width,insect.damage,measured.leaf.damaged,mortality,flowering,rosette,number.individuals.in.pot,notes,leafarea,w1,w2,w3,w4,w5,numObs,inoc2
Green-A-Cp-01,corpub,A,Young,2019,1,6,26,20.1,8.3,5.7,NA,NA,A,N,N,1,misshappen leaves,47.31,1,1,0,1,1,4,Res
Green-A-Cp-02,corpub,A,Young,2019,1,6,26,21.9,9,3.6,NA,NA,E,N,N,0,NA,32.4,1,1,1,1,1,5,Res
Green-A-Cp-03,corpub,A,Young,2019,1,6,26,11.1,6.4,1.6,HEAVY,NA,A,N,N,1,"Inst/insect dmg, all leaves",10.24,1,0,1,1,1,4,Res
Green-A-Cp-04,corpub,A,Young,2019,1,6,26,NA,NA,NA,NA,NA,A,N,N,1,NA,NA,0,1,1,1,0,3,Res
Green-A-Cp-05,corpub,A,Young,2019,1,6,26,7.1,5.2,2,INTERMEDIATE,NA,A,N,N,2,"2 seedlings, 1 w/ inst dmg",10.4,1,1,1,0,1,4,Res
Green-A-Gv-01,geuvir,A,Young,2019,1,6,26,1,11,5.7,NA,NA,A,N,N,1,NA,62.7,1,1,1,1,1,5,Res
Green-A-Gv-02,geuvir,A,Young,2019,1,6,26,1.5,12.9,5.5,NA,NA,A,N,N,1,NA,70.95,1,1,1,1,1,5,Res
Green-A-Gv-03,geuvir,A,Young,2019,1,6,26,NA,NA,NA,NA,NA,E,N,N,0,NA,NA,0,0,1,1,1,3,Res
Green-A-Gv-04,geuvir,A,Young,2019,1,6,26,1,10.6,5.2,NA,NA,E,N,N,0,NA,55.12,1,1,1,0,1,4,Res
Green-A-Gv-05,geuvir,A,Young,2019,1,6,26,1,11.4,5.7,NA,NA,E,N,N,0,NA,64.98,1,1,0,1,0,3,Res
Green-A-Sa-01,solarg,A,Young,2019,1,6,26,1,13.2,3.9,NA,NA,A,N,N,1,NA,51.48,1,1,1,1,1,5,Res
Green-A-Sa-02,solarg,A,Young,2019,1,6,26,1,12.5,3.7,NA,NA,A,N,N,1,Yellowing of some leaves,46.25,1,1,1,1,1,5,Res
Green-A-Sa-03,solarg,A,Young,2019,1,6,26,1,9.9,3.5,NA,NA,E,N,N,0,Yellowing of some leaves,34.65,1,0,1,1,0,3,Res
Green-A-Sa-04,solarg,A,Young,2019,1,6,26,NA,NA,NA,NA,NA,A,N,N,1,NA,NA,0,1,0,0,1,2,Res
Green-A-Sa-05,solarg,A,Young,2019,1,6,26,26.2,10.8,3.7,NA,NA,E,N,N,0,NA,39.96,1,1,1,1,1,5,Res
Green-A-Sc-01,solcae,A,Young,2019,1,6,26,NA,NA,NA,NA,NA,A,N,N,1,To small to measure,NA,0,0,1,0,1,2,Res
Green-A-Sc-02,solcae,A,Young,2019,1,6,26,12.7,9.3,3.1,NA,NA,E,N,N,0,NA,28.83,1,1,1,1,1,5,Res
Green-A-Sc-03,solcae,A,Young,2019,1,6,26,27.5,9.7,2.9,NA,NA,A,N,N,1,NA,28.13,1,1,0,1,1,4,Res
Green-A-Sc-04,solcae,A,Young,2019,1,6,26,1,2.7,1,NA,NA,A,N,N,1,NA,2.7,1,1,1,1,1,5,Res
Green-A-Sc-05,solcae,A,Young,2019,1,6,26,15.2,10.1,3.7,NA,NA,A,N,N,1,NA,37.37,1,1,1,1,0,4,Res
Green-B-Cp-01,corpub,B,Young,2019,1,6,26,15.6,10.1,3.7,NA,NA,A,N,N,1,NA,37.37,1,1,1,1,1,5,Res
