Unit,plot,Plot,Block,Species,Number,potID,uniqID,greenhouseSoil,seedID,quadrat,Quadrat,Soil,Soil2,Competition,Position,Year,Survival,Height,Rosette,nLeaf,nStem,leafDamage,leafLength,leafWidth,Area_week12
EAMO,3,EAMO#3,B,Cp,5,B-Cp-5,EAMO-B-Cp-5,EAMO,497,TL-HS-CA,TL,Home,Young,Absent,A5,2019,1,16.8,0,14,NA,3,9.9,3.2,31.68
EAMO,3,EAMO#3,A,Cp,2,A-Cp-2,EAMO-A-Cp-2,EAMO,509,TL-HS-CA,TL,Home,Young,Absent,D3,2019,1,40.6,0,18,NA,1,9.6,3.4,32.64
EAMO,3,EAMO#3,A,Cp,1,A-Cp-1,EAMO-A-Cp-1,EAMO,510,TL-HS-CA,TL,Home,Young,Absent,D4,2019,1,27.4,0,10,NA,0,8.8,3.9,34.32
EAMO,3,EAMO#3,D,Cp,2,D-Cp-2,EAMO-D-Cp-2,EAMO,524,TR-HS-CP,TR,Home,Young,Present,C4,2019,1,29.9,0,16,NA,3,10.4,4.2,43.68
EAMO,3,EAMO#3,E,Cp,3,E-Cp-3,EAMO-E-Cp-3,EAMO,525,TR-HS-CP,TR,Home,Young,Present,C5,2019,1,30.3,0,12,NA,0,9.8,3.9,38.22
EAMO,3,EAMO#3,C,Cp,3,C-Cp-3,EAMO-C-Cp-3,EAMO,529,TR-HS-CP,TR,Home,Young,Present,D4,2019,1,44.4,0,20,NA,3,10.7,4.1,43.87
EAMO,4,EAMO#4,C,Cp,1,C-Cp-1,EAMO-C-Cp-1,EAMO,603,TL-HS-CP,TL,Home,Young,Present,A3,2019,1,34.4,0,34,NA,0,9,3,27
EAMO,4,EAMO#4,F,Cp,2,F-Cp-2,EAMO-F-Cp-2,EAMO,612,TL-HS-CP,TL,Home,Young,Present,C3,2019,1,27.1,0,20,NA,0,11.1,3.7,41.07
EAMO,4,EAMO#4,E,Cp,1,E-Cp-1,EAMO-E-Cp-1,EAMO,616,TL-HS-CP,TL,Home,Young,Present,D2,2019,1,26.5,0,21,NA,0,8,3.9,31.2
EAMO,4,EAMO#4,F,Cp,3,F-Cp-3,EAMO-F-Cp-3,EAMO,622,TR-HS-CA,TR,Home,Young,Absent,A5,2019,1,42,0,16,NA,0,9.9,3.8,37.62
